Phoneme,Start_Time(sec),End_Time(sec),Duration(sec)
ʋ,0.580,0.670,0.090
ɛ,0.670,0.710,0.040
n,0.710,0.780,0.070
ð,0.780,0.820,0.040
a,0.820,0.850,0.030
s,0.850,1.020,0.170
ɐ,1.020,1.110,0.090
n,1.110,1.210,0.100
l,1.210,1.240,0.030
aj,1.240,1.370,0.130
t,1.370,1.420,0.050
s,1.420,1.530,0.110
t,1.530,1.630,0.100
ɹ,1.630,1.680,0.050
aj,1.680,1.820,0.140
k,1.820,1.890,0.070
s,1.890,1.990,0.100
spn,1.990,2.670,0.680
i,2.670,2.700,0.030
n,2.700,2.770,0.070
ð,2.770,2.810,0.040
a,2.810,2.880,0.070
ɛ,2.880,2.990,0.110
ɹ,2.990,3.200,0.210
ð,3.640,3.680,0.040
e,3.680,3.780,0.100
a,3.780,3.910,0.130
k,3.910,3.940,0.030
t,3.940,4.070,0.130
a,4.070,4.110,0.040
s,4.110,4.170,0.060
a,4.170,4.210,0.040
p,4.210,4.350,0.140
ɹ,4.350,4.390,0.040
i,4.390,4.430,0.040
z,4.430,4.520,0.090
a,4.520,4.580,0.060
m,4.580,4.730,0.150
a,4.770,4.820,0.050
n,4.820,4.870,0.050
f,4.870,5.030,0.160
ɒ,5.030,5.110,0.080
ɹ,5.110,5.140,0.030
m,5.140,5.200,0.060
a,5.200,5.250,0.050
ɹ,5.250,5.380,0.130
e,5.380,5.460,0.080
n,5.460,5.550,0.090
b,5.550,5.600,0.050
o,5.600,5.770,0.170
