Phoneme,Start_Time(sec),End_Time(sec),Duration(sec)
ʋ,0.580,0.670,0.090
ɛ,0.670,0.710,0.040
n,0.710,0.780,0.070
ð,0.780,0.820,0.040
a,0.820,0.850,0.030
s,0.850,1.020,0.170
ɐ,1.020,1.110,0.090
n,1.110,1.200,0.090
l,1.200,1.240,0.040
aj,1.240,1.370,0.130
t,1.370,1.420,0.050
s,1.420,1.540,0.120
t,1.540,1.630,0.090
ɹ,1.630,1.680,0.050
aj,1.680,1.820,0.140
k,1.820,1.890,0.070
s,1.890,1.980,0.090
spn,1.980,2.670,0.690
i,2.670,2.710,0.040
n,2.710,2.770,0.060
ð,2.770,2.800,0.030
a,2.800,2.870,0.070
ɛ,2.870,2.960,0.090
ɹ,2.960,3.140,0.180
ð,3.650,3.680,0.030
e,3.680,3.780,0.100
a,3.780,3.920,0.140
k,3.920,3.980,0.060
t,3.980,4.070,0.090
a,4.070,4.110,0.040
s,4.110,4.170,0.060
a,4.170,4.220,0.050
p,4.220,4.350,0.130
ɹ,4.350,4.400,0.050
i,4.400,4.430,0.030
z,4.430,4.520,0.090
a,4.520,4.590,0.070
m,4.590,4.710,0.120
a,4.780,4.820,0.040
n,4.820,4.880,0.060
f,4.880,5.030,0.150
ɒ,5.030,5.110,0.080
ɹ,5.110,5.140,0.030
m,5.140,5.200,0.060
a,5.200,5.240,0.040
ɹ,5.240,5.380,0.140
e,5.380,5.470,0.090
n,5.470,5.550,0.080
b,5.550,5.600,0.050
o,5.600,5.750,0.150
