Phoneme,Start_Time(sec),End_Time(sec),Duration(sec)
ʋ,0.570,0.670,0.100
ɛ,0.670,0.710,0.040
n,0.710,0.790,0.080
ð,0.790,0.820,0.030
a,0.820,0.850,0.030
s,0.850,1.020,0.170
ɐ,1.020,1.110,0.090
n,1.110,1.190,0.080
l,1.190,1.240,0.050
aj,1.240,1.370,0.130
t,1.370,1.420,0.050
s,1.420,1.540,0.120
t,1.540,1.630,0.090
ɹ,1.630,1.680,0.050
aj,1.680,1.810,0.130
k,1.810,1.890,0.080
s,1.890,1.970,0.080
spn,1.970,2.680,0.710
i,2.680,2.710,0.030
n,2.710,2.750,0.040
ð,2.750,2.780,0.030
a,2.780,2.960,0.180
ɛ,2.960,3.060,0.100
ɹ,3.060,3.170,0.110
ð,3.630,3.670,0.040
e,3.670,3.770,0.100
a,3.770,3.910,0.140
k,3.910,3.980,0.070
t,3.980,4.070,0.090
a,4.070,4.110,0.040
s,4.110,4.170,0.060
a,4.170,4.210,0.040
p,4.210,4.350,0.140
ɹ,4.350,4.390,0.040
i,4.390,4.440,0.050
z,4.440,4.520,0.080
a,4.520,4.590,0.070
m,4.590,4.740,0.150
a,4.770,4.810,0.040
n,4.810,4.870,0.060
f,4.870,5.020,0.150
ɒ,5.020,5.100,0.080
ɹ,5.100,5.150,0.050
m,5.150,5.200,0.050
a,5.200,5.240,0.040
ɹ,5.240,5.380,0.140
e,5.380,5.470,0.090
n,5.470,5.540,0.070
b,5.540,5.590,0.050
o,5.590,5.740,0.150
