Phoneme,Start_Time(sec),End_Time(sec),Duration(sec)
ʋ,0.570,0.670,0.100
ɛ,0.670,0.710,0.040
n,0.710,0.780,0.070
ð,0.780,0.820,0.040
a,0.820,0.850,0.030
s,0.850,1.020,0.170
ɐ,1.020,1.110,0.090
n,1.110,1.200,0.090
l,1.200,1.240,0.040
aj,1.240,1.370,0.130
t,1.370,1.420,0.050
s,1.420,1.530,0.110
t,1.530,1.630,0.100
ɹ,1.630,1.680,0.050
aj,1.680,1.820,0.140
k,1.820,1.890,0.070
s,1.890,1.960,0.070
spn,1.960,2.670,0.710
i,2.670,2.710,0.040
n,2.710,2.790,0.080
ð,2.790,2.820,0.030
a,2.820,2.870,0.050
ɛ,2.870,2.940,0.070
ɹ,2.940,3.170,0.230
ð,3.630,3.670,0.040
e,3.670,3.770,0.100
a,3.770,3.910,0.140
k,3.910,3.980,0.070
t,3.980,4.070,0.090
a,4.070,4.110,0.040
s,4.110,4.170,0.060
a,4.170,4.210,0.040
p,4.210,4.350,0.140
ɹ,4.350,4.400,0.050
i,4.400,4.440,0.040
z,4.440,4.520,0.080
a,4.520,4.580,0.060
m,4.580,4.730,0.150
a,4.780,4.820,0.040
n,4.820,4.870,0.050
f,4.870,5.020,0.150
ɒ,5.020,5.100,0.080
ɹ,5.100,5.140,0.040
m,5.140,5.200,0.060
a,5.200,5.240,0.040
ɹ,5.240,5.380,0.140
e,5.380,5.470,0.090
n,5.470,5.540,0.070
b,5.540,5.600,0.060
o,5.600,5.780,0.180
