Phoneme,Start_Time(sec),End_Time(sec),Duration(sec)
ʋ,0.590,0.670,0.080
ɛ,0.670,0.710,0.040
n,0.710,0.790,0.080
ð,0.790,0.820,0.030
a,0.820,0.850,0.030
s,0.850,1.030,0.180
ɐ,1.030,1.110,0.080
n,1.110,1.210,0.100
l,1.210,1.250,0.040
aj,1.250,1.360,0.110
t,1.360,1.420,0.060
s,1.420,1.530,0.110
t,1.530,1.630,0.100
ɹ,1.630,1.680,0.050
aj,1.680,1.800,0.120
k,1.800,1.890,0.090
s,1.890,1.980,0.090
spn,1.980,2.200,0.220
i,2.200,2.230,0.030
n,2.230,2.310,0.080
ð,2.310,2.340,0.030
a,2.340,2.370,0.030
ɛ,2.370,2.400,0.030
ɹ,2.400,2.450,0.050
ð,2.450,3.680,1.230
e,3.680,3.780,0.100
a,3.780,3.910,0.130
k,3.910,3.960,0.050
t,3.960,4.070,0.110
a,4.070,4.110,0.040
s,4.110,4.170,0.060
a,4.170,4.210,0.040
p,4.210,4.350,0.140
ɹ,4.350,4.400,0.050
i,4.400,4.440,0.040
z,4.440,4.520,0.080
a,4.520,4.570,0.050
m,4.570,4.750,0.180
a,4.780,4.810,0.030
n,4.810,4.880,0.070
f,4.880,5.030,0.150
ɒ,5.030,5.110,0.080
ɹ,5.110,5.140,0.030
m,5.140,5.200,0.060
a,5.200,5.250,0.050
ɹ,5.250,5.370,0.120
e,5.370,5.460,0.090
n,5.460,5.530,0.070
b,5.530,5.590,0.060
o,5.590,5.700,0.110
